id,dept_name
NJ0011300,HAMMONTON PD 
NJ0031000,DELRAN TWP PD 
NJ0031100,EASTAMPTON TWP PD 
NJ0031200,EDGEWATER PARK TWP PD 
NJ0031300,EVESHAM TWP PD 
NJ0031500,FLORENCE TWP PD 
NJ0031700,WILLINGBORO PD 
NJ0031800,LUMBERTON TWP PD 
NJ0031900,MANSFIELD TWP PD 
NJ0032000,MAPLE SHADE PD 
NJ0032100,MEDFORD TWP PD 
NJ0011400,LINWOOD CITY PD 
NJ0032200,MEDFORD LAKES PD 
NJ0032300,MOORESTOWN PD 
NJ0032400,MOUNT HOLLY PD 
NJ0032500,MOUNT LAUREL TWP PD 
NJ0032600,NEW HANOVER TWP PD 
NJ0032700,NORTH HANOVER TWP PD 
NJ0032800,PALMYRA BORO PD 
NJ0032900,PEMBERTON BORO PD 
NJ0033000,PEMBERTON TWP PD 
NJ0033100,RIVERSIDE PD 
NJ0011500,LONGPORT PD 
NJ0033200,RIVERTON BORO PD 
NJ0033500,SPRINGFIELD TWP PD 
NJ0033800,WESTAMPTON TWP PD 
NJ003SP,STATE POLICE BURLINGTON CO 
NJ0040100,AUDUBON PD 
NJ0040200,AUDUBON PARK PD 
NJ0040300,BARRINGTON PD 
NJ0040400,BELLMAWR PD 
NJ0040500,BERLIN BORO PD 
NJ0040600,BERLIN TWP PD 
NJ0011600,MARGATE PD 
NJ0040700,BROOKLAWN PD 
NJ0040800,CAMDEN PD 
NJ0040900,CHESILHURST PD 
NJ0041000,CLEMENTON BORO PD 
NJ0041100,COLLINGSWOOD PD 
NJ0041200,CHERRY HILL TWP PD 
NJ0041300,GIBBSBORO PD 
NJ0041400,GLOUCESTER CITY PD 
NJ0041500,GLOUCESTER TWP PD 
NJ0041600,HADDON TWP PD 
NJ0011700,MULLICA TWP PD 
NJ0041700,HADDONFIELD PD 
NJ0041800,HADDON HEIGHTS PD 
NJ0041900,HI-NELLA PD 
NJ0042000,LAUREL SPRINGS PD 
NJ0042100,LAWNSIDE BORO PD 
NJ0042200,LINDENWOLD BORO PD 
NJ0042300,MAGNOLIA PD 
NJ0042400,MERCHANTVILLE PD 
NJ0042500,MT. EPHRAIM PD 
NJ0042600,OAKLYN BORO PD 
NJ0011800,NORTHFIELD PD 
NJ0042700,PENNSAUKEN TWP PD 
NJ0042800,PINE HILL PD 
NJ0043000,RUNNEMEDE PD 
NJ0043100,SOMERDALE PD 
NJ0043200,STRATFORD BORO PD 
NJ0043400,VOORHEES TWP PD 
NJ0043500,WATERFORD TWP PD 
NJ0043600,WINSLOW TWP PD 
NJ0043700,WOODLYNNE PD 
NJ0043900,RUTGERS UNIV CAMPUS PD 
NJ0011900,PLEASANTVILLE PD 
NJ004SP,STATE POLICE CAMDEN COUNT 
