LEAR_ID	NAME	STREET_ADDRESS	CITY	ZIP	STATE	COUNTY	FIPS	SOURCE	CSLLEA08_ID	ORI9	ORI7	SAMPTYPE	LEAR_FULLTIME_SWORN	LEAR_PARTTIME_SWORN	CSLLEA08_FULLTIME_SWORN	CSLLEA08_PARTTIME_SWORN	CSLLEA08_FULLTIME_CIVILIAN	CSLLEA08_PARTTIME_CIVILIAN	LEMAS13_FULLTIME_SWORN	LEMAS13_PARTTIME_SWORN	LEMAS13_FULLTIME_CIVILIAN	LEMAS13_PARTTIME_CIVILIAN	PE14_DIVISION_REGION	PE14_MSA	PE14_POPULATION	PE14_MALE_OFFICERS	PE14_MALE_CIVILIANS	PE14_MALE_TOTAL	PE14_FEMALE_OFFICERS	PE14_FEMALE_CIVILIANS	PE14_FEMALE_TOTAL	PE14_TOTAL_EMPLOYEES	NO_POLICING
652286	Penn Township Police Department- Butler Co.	157 E AIRPORT RD	BUTLER	16002	PA	-3	 	CSLLEA08,LEAR	11365040	PA0101000	PA01010	3	3	1	3	1	1	0	 	 	 	 	2	667	5019	2	0	2	1	1	2	4	FALSE
652283	Penn Township Police Department- York Co.	20 Wayne Avenue	HANOVER	17331	PA	-3	 	CSLLEA08,LEAR	11435020	PA0674100	PA06741	3	21	0	19	0	2	0	 	 	 	 	2	984	15846	20	0	20	2	2	4	24	FALSE
629965	FORT YUKON POLICE DEPARTMENT	PO BOX 170	Fort Yukon	99740	AK	-3	2290	CSLLEA14,POST,CSLLEA08,LEAIC	13429040	AK0012900	-1	3	 	 	2	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
637881	BLENCOE POLICE DEPARTMENT	PO BOX 56	Blencoe	51523	IA	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	13409140	IA0670300	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
638939	LEAF RIVER POLICE DEPARTMENT	12 MAIN ST P O BOX 337	Leaf River	61047	IL	-3	 	CSLLEA14,CSLLEA08,LEAIC	11570910	IL0710900	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
641672	SANDISFIELD POLICE DEPARTMENT	PO BOX 45	SANDISFIELD	01255	MA	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12401360	MA0022400	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
641596	MONTGOMERY POLICE DEPARTMENT	26 OLD HOUSE RD	Montgomery	01085	MA	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12151480	MA0071400	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
642580	WAUBUN POLICE DEPARTMENT	PO BOX 96	Waubun	56589	MN	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12672570	MN0440200	-1	3	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
646666	NASHVILLE POLICE DEPARTMENT	PO BOX 433	NASHVILLE	44661	OH	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12974260	OH0380600	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
649932	HOLIDAY LAKES POLICE DEPARTMENT	RR 4 BOX 747	Angleton	77515	TX	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12406030	TX0203100	-1	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
632343	BRISTOL CITY SHERIFFS OFFICE	417 Cumberland Street	Bristol	24201	VA	-3	51520	CSLLEA14,POST,CSLLEA08,LEAIC	13659160	VA1000100	-1	1	 	 	50	3	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TRUE
632364	CHARLOTTESVILLE (CITY) SHERIFF'S OFFICE	315 E HIGH ST	CHARLOTTESVILLE	22902	VA	-3	51540	CSLLEA14,POST,CSLLEA08,LEAIC	12818470	VA1020100	-1	1	 	 	10	2	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TRUE
632450	HAMPTON CITY SHERIFFS OFFICE	1928 W PEMBROKE AVE	HAMPTON	23661	VA	-3	51650	CSLLEA14,POST,CSLLEA08,LEAIC	12918140	VA1110200	-1	1	 	 	156	6	33	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TRUE
632646	VIRGINIA BEACH CITY SHERIFF'S OFFICE	PO BOX 6098	VIRGINIA BEACH	23456	VA	-3	51810	CSLLEA14,POST,CSLLEA08,LEAIC	12699360	VA1280100	-1	1	 	 	429	0	51	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TRUE
631559	LA FARGE POLICE DEPARTMENT	201 S CHERRY ST	La Farge	54639	WI	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12427110	WI0630100	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
630948	GRANGER POLICE DEPARTMENT	PO BOX 42	Granger	82934	WY	-3	 	CSLLEA14,POST,CSLLEA08,LEAIC	12288780	WY0190700	-1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	FALSE
629982	NOME POLICE DEPARTMENT	PO BOX 1230	Nome	99762	AK	-3	2180	CSLLEA14,POST,CSLLEA08,LEAIC	13833080	AK0010600	AK00106	3	 	 	6	0	6	0	 	 	 	 	9	 	3844	10	4	14	0	3	3	17	FALSE
630003	WHITTIER POLICE DEPARTMENT	PO BOX 687	WHITTIER	99693	AK	-3	2261	CSLLEA14,POST,CSLLEA08,LEAIC	13235320	AK0012800	AK00128	3	 	 	2	0	0	0	 	 	 	 	9	 	222	3	0	3	0	0	0	3	FALSE
