,ADDRESS_CITY,ADDRESS_NAME,ADDRESS_STATE,ADDRESS_STR1,ADDRESS_STR2,ADDRESS_ZIP,AGCYTYPE,CITY,COMMENT,CONGDIST1,CONGDIST2_18,COUNTY,COUNTYNAME,CSLLEA08_FULLTIME_CIVILIAN,CSLLEA08_FULLTIME_SWORN,CSLLEA08_ID_x,CSLLEA08_ID_y,CSLLEA08_PARTTIME_CIVILIAN,CSLLEA08_PARTTIME_SWORN,CSLLEA_SUB,DISTNAME,FCOUNTY,FIPS_COUNTY,FIPS_ST,FIPS_x,FIPS_y,FPLACE,FSTATE,GOVID,INTPTLAT,INTPTLONG,LEAR_FULLTIME_SWORN,LEAR_ID,LEAR_PARTTIME_SWORN,LEMAS13_FULLTIME_CIVILIAN,LEMAS13_FULLTIME_SWORN,LEMAS13_PARTTIME_CIVILIAN,LEMAS13_PARTTIME_SWORN,LEMAS_ID,LG_NAME,LG_POPULATION,NAME_x,NAME_y,NO_POLICING,Name,ORI7_x,ORI7_y,ORI9,ORI9_x,ORI9_y,PARTOF,PE14_DIVISION_REGION,PE14_FEMALE_CIVILIANS,PE14_FEMALE_OFFICERS,PE14_FEMALE_TOTAL,PE14_MALE_CIVILIANS,PE14_MALE_OFFICERS,PE14_MALE_TOTAL,PE14_MSA,PE14_POPULATION,PE14_TOTAL_EMPLOYEES,REPORT_FLAG,SAMPTYPE,SOURCE,SOURCE_CSLLEA2008,SOURCE_NCIC2012,SOURCE_UCR2010,SOURCE_UCR2011,SOURCE_UCR2012,SOURCE_VENDOR,STATE,STATENAME,STREET_ADDRESS,SUBTYPE1,SUBTYPE2,UA,UANAME,U_CNTY,U_POPGRP,U_STATENO,U_TPOP,ZIP
0,NEW BRUNSWICK,STATE POLICE: MIDDLESEX COUNTY,NJ, , ,08903,5.0,, ,6.0,12,,MIDDLESEX,,,-1.0,,,,0.0,District of New Jersey,23.0,23.0,34.0,34023.0,,99023.0,34.0,310000000.0,40.439593,-74.407585,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: MIDDLESEX COUNTY,,,STATE POLICE MIDDLESEX COU,NJ012SP,,,NJ012SP,NJ012SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,12.0,9D,29.0,0.0,
1,CAPE MAY,STATE POLICE: CAPE MAY COUNTY,NJ, , ,08204,5.0,, ,2.0, ,,CAPE MAY,,,-1.0,,,,0.0,District of New Jersey,9.0,9.0,34.0,34009.0,,99009.0,34.0,310000000.0,39.086142,-74.847716,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: CAPE MAY COUNTY,,,STATE POLICE CAPE MAY COUN,NJ005SP,,,NJ005SP,NJ005SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,5.0,9C,29.0,21272.0,
2,NEWTON,STATE POLICE: SUSSEX COUNTY,NJ, , ,07860,5.0,, ,5.0,11,,SUSSEX,,,-1.0,,,,0.0,District of New Jersey,37.0,37.0,34.0,34037.0,,99037.0,34.0,310000000.0,41.137424,-74.691855,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: SUSSEX COUNTY,,,STATE POLICE SUSSEX COUNTY,NJ019SP,,,NJ019SP,NJ019SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,19.0,9B,29.0,45223.0,
3,TRENTON,STATE POLICE: MERCER COUNTY,NJ, , ,08604,5.0,, ,4.0,12,,MERCER,,,-1.0,,,,0.0,District of New Jersey,21.0,21.0,34.0,34021.0,,99021.0,34.0,310000000.0,40.282503,-74.703724,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: MERCER COUNTY,,,STATE POLICE MERCER COUNT,NJ011SP,,,NJ011SP,NJ011SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,11.0,9D,29.0,0.0,
4,BRIDGETON,STATE POLICE: CUMBERLAND CNTY,NJ, , ,08302,5.0,, ,2.0, ,,CUMBERLAND,,,-1.0,,,,0.0,District of New Jersey,11.0,11.0,34.0,34011.0,,99011.0,34.0,310000000.0,39.328387,-75.121644,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: CUMBERLAND COUNTY,,,STATE POLICE CUMBERLAND C,NJ006SP,,,NJ006SP,NJ006SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,6.0,9B,29.0,42588.0,
5,FLEMINGTON,STATE POLICE: HUNTERDON COUNTY,NJ, , ,08822,5.0,, ,7.0, ,,HUNTERDON,,,-1.0,,,,0.0,District of New Jersey,19.0,19.0,34.0,34019.0,,99019.0,34.0,310000000.0,40.565283,-74.911969,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: HUNTERDON COUNTY,,,STATE POLICE HUNTERDON CO,NJ010SP,,,NJ010SP,NJ010SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,10.0,9B,29.0,29865.0,
6,ELIZABETH,STATE POLICE: UNION COUNTY,NJ, , ,07207,5.0,, ,7.0,08 10 12,,UNION,,,-1.0,,,,0.0,District of New Jersey,39.0,39.0,34.0,34039.0,,99039.0,34.0,310000000.0,40.659871,-74.308696,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: UNION COUNTY,,,STATE POLICE UNION COUNTY,NJ020SP,,,NJ020SP,NJ020SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,20.0,9D,29.0,0.0,
7,MAYS LANDING,STATE POLICE: ATLANTIC COUNTY,NJ, , ,08330,5.0,, ,2.0, ,,ATLANTIC,,,-1.0,,,,0.0,District of New Jersey,1.0,1.0,34.0,34001.0,,99001.0,34.0,310000000.0,39.469354,-74.633758,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: ATLANTIC COUNTY,,,SP: ATLANTIC COUNTY,NJ001SP,,,NJ001SP,NJ001SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,1.0,9C,29.0,15576.0,
8,HACKENSACK,STATE POLICE: BERGEN COUNTY,NJ, , ,07602,5.0,, ,5.0,08 09,,BERGEN,,,-1.0,,,,0.0,District of New Jersey,3.0,3.0,34.0,34003.0,,99003.0,34.0,310000000.0,40.959648,-74.07486,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: BERGEN COUNTY,,,STATE POLICE BERGEN COUNTY,NJ002SP,,,NJ002SP,NJ002SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,2.0,9D,29.0,0.0,
9,PASSAIC,STATE POLICE: PASSAIC COUNTY,NJ, , ,07055,5.0,, ,5.0,09 11,,PASSAIC,,,-1.0,,,,0.0,District of New Jersey,31.0,31.0,34.0,34031.0,,99031.0,34.0,310000000.0,41.033763,-74.300307,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: PASSAIC COUNTY,,,STATE POLICE PASSAIC COUNT,NJ016SP,,,NJ016SP,NJ016SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,16.0,9D,29.0,0.0,
