crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 4 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 2 , 4 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 17 , 0 , 69 , 74 , 33 , 4
Forcible Entry , 4 , 0 , 8 , 17 , 9 , 0
Unlawful Entry , 3 , 0 , 14 , 5 , 2 , 1
Attempted Forcible Entry , 0 , 0 , 5 , 9 , 2 , 1
Larceny - Theft , 46 , 0 , 212 , 151 , 66 , 8
Autos , 2 , 0 , 4 , 3 , 1 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
