crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 5 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 1 , 0 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 3 , 0 , 0 , 0
Other Dangerous Weapon , 2 , 0 , 3 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 7 , 0 , 54 , 0 , 0 , 0
Forcible Entry , 4 , 0 , 14 , 0 , 0 , 0
Unlawful Entry , 3 , 0 , 10 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 24 , 0 , 89 , 0 , 0 , 0
Autos , 1 , 0 , 4 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 3 , 0 , 3 , 0 , 0 , 0
