crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 4 , 0 , 0 , 0
Gun , 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 3 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 4 , 0 , 8 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 2 , 0 , 18 , 0 , 0 , 0
Forcible Entry , 1 , 0 , 5 , 0 , 0 , 0
Larceny - Theft , 29 , 0 , 146 , 0 , 0 , 0
Autos , 1 , 0 , 5 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
